="",="(1)",="(2)",="(3)",="(4)"
="",="ln_avwage",="net_pcm",="ln_avwage",="net_pcm"
="",="b/se",="b/se",="b/se",="b/se"
="ptreat_placebo",="0.033",="0.015",="",=""
="",="(0.028)",="(0.011)",="",=""
="avwage96_placebo",="",="",="-0.079",="-0.012"
="",="",="",="(0.106)",="(0.029)"
="N",="4550",="4550",="4550",="4550"
