="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="ent_rate",="ent_rate",="ex_rate",="ex_rate",="net",="net"
="",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se"
="lowpay_nmw",="0.021",="",="-0.013",="",="0.034",=""
="",="(0.015)",="",="(0.017)",="",="(0.026)",=""
="lowpay_fake",="",="0.057*",="",="-0.028",="",="0.085***"
="",="",="(0.033)",="",="(0.019)",="",="(0.028)"
="N",="1020",="850",="1020",="850",="1020",="850"
