="",="(1)",="(2)",="(3)",="(4)"
="",="dlwi",="dlwi",="dps",="dps"
="",="b/se",="b/se",="b/se",="b/se"
="gapi0",="0.861***",="0.885***",="-0.433**",="-0.492**"
="",="(0.045)",="(0.052)",="(0.173)",="(0.202)"
="N",="454",="454",="454",="454"
