="",="(1)",="(2)",="(3)",="(4)"
="",="ln_avwage",="net_pcm",="ln_avwage",="net_pcm"
="",="b/se",="b/se",="b/se",="b/se"
="treat1_NMW",="0.090***",="-0.029**",="",=""
="",="(0.026)",="(0.012)",="",=""
="avwage99_NMW",="",="",="-0.188***",="0.032**"
="",="",="",="(0.033)",="(0.015)"
="N",="4112",="4112",="4112",="4112"
